hotel_name,url,hotel_url,avg_rating,tags,total_positive,total_negative,total_neutral,total_reviews
Pacific Sanctuary,https://www.booking.com/reviews/be/hotel/atw-apartments.en-gb.html?label=gen173nr-1DCA0oFUIOYXR3LWFwYXJ0bWVudHNIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AqG014cGwAIB0gIkMDM5NjJmYTktYjI4Mi00ZTgxLWFhODYtZTM0NjFmMzE4MzIy2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/atw-apartments.en-gb.html?label=gen173nr-1DCA0oFUIOYXR3LWFwYXJ0bWVudHNIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AqG014cGwAIB0gIkMDM5NjJmYTktYjI4Mi00ZTgxLWFhODYtZTM0NjFmMzE4MzIy2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,7.8,Stayed 4 nights~Leisure trip~Stayed 1 night~Solo traveller~Group~Apartment with Balcony~Stayed 7 nights~Stayed 3 nights~Submitted via mobile~Stayed 5 nights~Stayed 2 nights~Couple~One-Bedroom Apartment~Business trip~Family with young children,11,0,13,24
Urban View Manor,https://www.booking.com/reviews/be/hotel/acropolis-middelkerke1.en-gb.html?label=gen173nr-1DCA0oFUIWYWNyb3BvbGlzLW1pZGRlbGtlcmtlMUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCxcXXhwbAAgHSAiRkZTZmOGI4NS1mYWJkLTQ2ZDAtOGI0Zi1kZTA2ODFlNTI5ZWLYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/acropolis-middelkerke1.en-gb.html?label=gen173nr-1DCA0oFUIWYWNyb3BvbGlzLW1pZGRlbGtlcmtlMUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCxcXXhwbAAgHSAiRkZTZmOGI4NS1mYWJkLTQ2ZDAtOGI0Zi1kZTA2ODFlNTI5ZWLYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.0,Solo traveller~Stayed 3 nights~Family with young children~Suite with Balcony~Stayed 10 nights~Large Double Room~Couple~Suite~Stayed 1 night~Family Suite with Balcony~Apartment with Balcony~Deluxe Double Room~Stayed 2 nights~Submitted via mobile~Junior Suite with Balcony~Leisure trip~Family Suite~People with friends~Small Double Room,24,0,0,24
Pacific Park Villa,https://www.booking.com/reviews/be/hotel/adagio-access-brussels-delta.en-gb.html?label=gen173nr-1DCA0oFUIcYWRhZ2lvLWFjY2Vzcy1icnVzc2Vscy1kZWx0YUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCor3XhwbAAgHSAiQ5MDg3ZDg3OC00YzEyLTRmMjctODc3OS1lNDE1ZGU5MjIxZGPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/adagio-access-brussels-delta.en-gb.html?label=gen173nr-1DCA0oFUIcYWRhZ2lvLWFjY2Vzcy1icnVzc2Vscy1kZWx0YUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCor3XhwbAAgHSAiQ5MDg3ZDg3OC00YzEyLTRmMjctODc3OS1lNDE1ZGU5MjIxZGPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.4,Elegant Quadruple Studio~Stayed 4 nights~Leisure trip~Solo traveller~Business trip~Stayed 1 night~Elegant Double Studio~Stayed 2 nights~Couple~Stayed 5 nights~Submitted via mobile~Family with young children,4,0,3,7
Pacific Park Retreat,https://www.booking.com/reviews/be/hotel/afspanning-de-kroon.en-gb.html?label=gen173nr-1DCA0oFUITYWZzcGFubmluZy1kZS1rcm9vbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCy7HXhwbAAgHSAiQzMzI4ZWI5Yi01ZWRlLTRmZTUtOTY2Ny1hMTY0OTFhM2Y3MznYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/afspanning-de-kroon.en-gb.html?label=gen173nr-1DCA0oFUITYWZzcGFubmluZy1kZS1rcm9vbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCy7HXhwbAAgHSAiQzMzI4ZWI5Yi01ZWRlLTRmZTUtOTY2Ny1hMTY0OTFhM2Y3MznYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.4,Standard Double or Twin Room~Leisure trip~Stayed 1 night~Solo traveller~Group~Standard Double or Twin Room with Balcony~Deluxe Double or Twin Room~Submitted via mobile~Stayed 2 nights~Couple~Business trip~Family with young children,5,0,1,6
Diamond View Inn,https://www.booking.com/reviews/by/hotel/agrousad-39-ba-nikodim.en-gb.html?label=gen173nr-1DCA0oJUIWYWdyb3VzYWQtMzktYmEtbmlrb2RpbUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCkcjXhwbAAgHSAiRjYmVkODQ0OC0xYzIwLTQxOTQtYTc5MS03ZGZmYjBmYTBlMDPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/by/agrousad-39-ba-nikodim.en-gb.html?label=gen173nr-1DCA0oJUIWYWdyb3VzYWQtMzktYmEtbmlrb2RpbUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCkcjXhwbAAgHSAiRjYmVkODQ0OC0xYzIwLTQxOTQtYTc5MS03ZGZmYjBmYTBlMDPYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.9,Leisure trip~Triple Room~Solo traveller~Stayed 1 night~Quadruple Room~Group~Stayed 2 nights~Submitted via mobile,1,0,1,2
Cozy Park Retreat,https://www.booking.com/reviews/be/hotel/albert-moliere.en-gb.html?label=gen173nr-1DCA0oFUIOYWxiZXJ0LW1vbGllcmVIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AuK_14cGwAIB0gIkZjlkYzA0OTUtNThjMC00YmU3LWEwYTctMDI1MmZmNTQzZWUz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/albert-moliere.en-gb.html?label=gen173nr-1DCA0oFUIOYWxiZXJ0LW1vbGllcmVIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AuK_14cGwAIB0gIkZjlkYzA0OTUtNThjMC00YmU3LWEwYTctMDI1MmZmNTQzZWUz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,9.0,Stayed 4 nights~Leisure trip~Stayed 1 night~Solo traveller~Group~Single Room with Garden View~Deluxe Double Room~Stayed 3 nights~Submitted via mobile~Stayed 2 nights~Double Room with Garden View~Couple~Deluxe Double Room with Balcony~Business trip~Family with young children,24,0,0,24
Luxury Park Hotel,https://www.booking.com/reviews/be/hotel/albert-moliere.en-gb.html?label=gen173nr-1DCA0oFUIOYWxiZXJ0LW1vbGllcmVIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AuK_14cGwAIB0gIkZjlkYzA0OTUtNThjMC00YmU3LWEwYTctMDI1MmZmNTQzZWUz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=2;r_lang=en;rows=75&,https://www.booking.com/hotel/be/albert-moliere.en-gb.html?label=gen173nr-1DCA0oFUIOYWxiZXJ0LW1vbGllcmVIM1gEaGyIAQGYAQm4AQfIAQ3YAQPoAQGIAgGoAgO4AuK_14cGwAIB0gIkZjlkYzA0OTUtNThjMC00YmU3LWEwYTctMDI1MmZmNTQzZWUz2AIE4AIB;sid=cb78d8489b9c18246aa9830225a71862,9.0,Leisure trip~Solo traveller~Stayed 1 night~Business trip~Group~Single Room with Garden View~Stayed 3 nights~Deluxe Double Room~Stayed 2 nights~Double Room with Garden View~Couple~Stayed 5 nights~Deluxe Double Room with Balcony~Submitted via mobile~Family with young children,23,0,2,25
Pacific Hotel,https://www.booking.com/reviews/be/hotel/alfainn.en-gb.html?label=gen173nr-1DCA0oFUIHYWxmYWlubkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCnarXhwbAAgHSAiQ0NGY3OTI0Zi0xMmYyLTQzMWEtOTk4MC02OGY4YzgyZmY5OGbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/alfainn.en-gb.html?label=gen173nr-1DCA0oFUIHYWxmYWlubkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCnarXhwbAAgHSAiQ0NGY3OTI0Zi0xMmYyLTQzMWEtOTk4MC02OGY4YzgyZmY5OGbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.7,Special Offer - Double Room~Junior Suite with Shower~Apartment (4-6 Adults)~Leisure trip~Single Room~Solo traveller~Double Room~Stayed 1 night~Luxury Quadruple Room~Business trip~Group~Stayed 3 nights~Stayed 2 nights~Couple~Submitted via mobile~Family with young children,23,0,0,23
Silver Park Cottage,https://www.booking.com/reviews/be/hotel/all-in-one.en-gb.html?label=gen173nr-1DCA0oFUIKYWxsLWluLW9uZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCzbHXhwbAAgHSAiQxMGI0ZTBmNy03M2UyLTQ0YjItYTA2My0zNjQzYzg5ZDUxYWXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/all-in-one.en-gb.html?label=gen173nr-1DCA0oFUIKYWxsLWluLW9uZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCzbHXhwbAAgHSAiQxMGI0ZTBmNy03M2UyLTQ0YjItYTA2My0zNjQzYzg5ZDUxYWXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,9.2,Stayed 4 nights~Leisure trip~Solo traveller~Stayed 1 night~Deluxe King Room~Stayed 3 nights~Submitted via mobile~Stayed 2 nights~Couple~Stayed 5 nights~Business trip~Family with young children,24,0,0,24
Blue City Manor,https://www.booking.com/reviews/be/hotel/alliance-ieper-centrum.en-gb.html?label=gen173nr-1DCA0oFUIWYWxsaWFuY2UtaWVwZXItY2VudHJ1bUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCtbXXhwbAAgHSAiQ3MGQxM2EwYy03YmJiLTQxZjYtOWM2ZC1kYzgyMTE5MWQ3MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/alliance-ieper-centrum.en-gb.html?label=gen173nr-1DCA0oFUIWYWxsaWFuY2UtaWVwZXItY2VudHJ1bUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCtbXXhwbAAgHSAiQ3MGQxM2EwYy03YmJiLTQxZjYtOWM2ZC1kYzgyMTE5MWQ3MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,7.5,Stayed 4 nights~Leisure trip~Stayed 1 night~Solo traveller~Triple Room~People with friends~Classic Double or Twin Room~Group~Stayed 3 nights~Stayed 2 nights~Double or Twin Room~Couple~Family Room~Submitted via mobile~Family with young children,10,0,11,21
Sunny Park Tower,https://www.booking.com/reviews/be/hotel/alliance-ieper-centrum.en-gb.html?label=gen173nr-1DCA0oFUIWYWxsaWFuY2UtaWVwZXItY2VudHJ1bUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCtbXXhwbAAgHSAiQ3MGQxM2EwYy03YmJiLTQxZjYtOWM2ZC1kYzgyMTE5MWQ3MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=2;r_lang=en;rows=75&,https://www.booking.com/hotel/be/alliance-ieper-centrum.en-gb.html?label=gen173nr-1DCA0oFUIWYWxsaWFuY2UtaWVwZXItY2VudHJ1bUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCtbXXhwbAAgHSAiQ3MGQxM2EwYy03YmJiLTQxZjYtOWM2ZC1kYzgyMTE5MWQ3MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,7.5,Stayed 4 nights~Leisure trip~Stayed 1 night~Triple Room~Business trip~Solo traveller~People with friends~Classic Double or Twin Room~Group~Stayed 3 nights~Stayed 2 nights~Double or Twin Room~Couple~Family Room~Submitted via mobile~Family with young children,11,2,11,24
Luxury Park Villa,https://www.booking.com/reviews/be/hotel/alliance-ieper-centrum.en-gb.html?label=gen173nr-1DCA0oFUIWYWxsaWFuY2UtaWVwZXItY2VudHJ1bUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCtbXXhwbAAgHSAiQ3MGQxM2EwYy03YmJiLTQxZjYtOWM2ZC1kYzgyMTE5MWQ3MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total;hp_nav=0;old_page=0;order=featuredreviews;page=3;r_lang=en;rows=75&,https://www.booking.com/hotel/be/alliance-ieper-centrum.en-gb.html?label=gen173nr-1DCA0oFUIWYWxsaWFuY2UtaWVwZXItY2VudHJ1bUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCtbXXhwbAAgHSAiQ3MGQxM2EwYy03YmJiLTQxZjYtOWM2ZC1kYzgyMTE5MWQ3MzXYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,7.5,Leisure trip~Solo traveller~Stayed 1 night~Triple Room~People with friends~Group~Classic Double or Twin Room~Stayed 3 nights~Stayed 2 nights~Double or Twin Room~Couple~Submitted via mobile,6,0,13,19
Golden View Haven,https://www.booking.com/reviews/be/hotel/aloft-brussels-schuman.en-gb.html?label=gen173nr-1DCA0oFUIWYWxvZnQtYnJ1c3NlbHMtc2NodW1hbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC2K_XhwbAAgHSAiQ3ZWFlN2JkMS01NTgyLTQ5NmMtODBhNi04NWQ2M2VmNDIyNWHYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,https://www.booking.com/hotel/be/aloft-brussels-schuman.en-gb.html?label=gen173nr-1DCA0oFUIWYWxvZnQtYnJ1c3NlbHMtc2NodW1hbkgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC2K_XhwbAAgHSAiQ3ZWFlN2JkMS01NTgyLTQ5NmMtODBhNi04NWQ2M2VmNDIyNWHYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,8.8,"Stayed 4 nights~Leisure trip~Savvy, Guest room, 2 Twin/Single Bed(s)~Stayed 1 night~Loft, Guest room, 1 King~Business trip~Solo traveller~People with friends~Group~With a pet~Family Room, Connecting guest rooms Guest room~Loft, Guest room, 2 Twin/Single Bed(s)~Stayed 3 nights~Stayed 2 nights~Couple~Submitted via mobile~Family with young children",23,0,0,23
